iter	Passed	Remaining
0	0	493
1	1	450
2	2	425
3	3	433
4	4	433
5	5	426
6	6	426
7	6	424
8	7	424
9	8	423
10	9	420
11	10	430
12	11	432
13	12	431
14	13	432
15	14	430
16	15	430
17	16	429
18	16	430
19	17	431
20	18	429
21	19	428
22	20	430
23	21	428
24	22	424
25	23	425
26	24	429
27	25	437
28	26	438
29	27	438
30	28	438
31	29	436
32	30	434
33	31	434
34	32	435
35	33	434
36	34	437
37	35	437
38	36	435
39	37	435
40	38	435
41	39	434
42	40	435
43	41	434
44	42	434
45	43	433
46	44	432
47	45	430
48	46	430
49	47	429
50	48	427
51	49	426
52	50	425
53	51	424
54	52	423
55	53	422
56	54	420
57	55	420
58	56	420
59	57	418
60	58	417
61	58	416
62	59	415
63	60	414
64	61	413
65	62	412
66	63	411
67	64	409
68	65	409
69	66	408
70	67	407
71	68	406
72	69	407
73	70	407
74	71	407
75	72	406
76	73	404
77	74	404
78	75	403
79	76	402
80	77	402
81	78	401
82	79	400
83	80	399
84	81	398
85	82	397
86	83	397
87	84	396
88	85	396
89	86	395
90	87	394
91	88	392
92	89	391
93	90	389
94	91	388
95	92	387
96	93	386
97	94	385
98	95	384
99	95	383
100	96	382
101	97	381
102	98	381
103	99	380
104	101	379
105	101	378
106	102	377
107	103	377
108	105	376
109	106	376
110	107	375
111	108	374
112	109	374
113	110	373
114	111	373
115	112	373
116	114	373
117	115	373
118	116	373
119	117	372
120	118	372
121	120	371
122	121	371
123	122	370
124	123	369
125	124	369
126	125	369
127	126	368
128	128	368
129	129	368
130	130	367
131	131	366
132	132	366
133	133	365
134	134	364
135	136	364
136	137	363
137	138	362
138	139	361
139	140	360
140	141	359
141	142	359
142	143	359
143	144	358
144	145	357
145	146	356
146	147	355
147	149	354
148	150	354
149	151	353
150	152	352
151	153	352
152	154	351
153	155	350
154	156	349
155	158	348
156	159	347
157	160	346
158	161	345
159	162	344
160	163	343
161	164	342
162	165	341
163	165	340
164	166	339
165	168	338
166	169	337
167	170	336
168	171	335
169	172	334
170	173	333
171	174	333
172	175	332
173	176	331
174	177	330
175	178	329
176	179	328
177	180	327
178	181	325
179	182	324
180	183	323
181	184	321
182	184	320
183	185	319
184	186	318
185	187	317
186	189	316
187	189	315
188	190	314
189	191	312
190	192	311
191	193	310
192	194	309
193	195	308
194	196	307
195	197	305
196	198	304
197	199	303
198	199	302
199	200	301
200	201	300
201	202	299
202	204	298
203	205	297
204	206	296
205	207	295
206	208	294
207	209	293
208	209	292
209	210	291
210	211	290
211	212	289
212	213	287
213	214	286
214	215	285
215	216	284
216	217	283
217	218	282
218	219	281
219	220	280
220	221	279
221	222	278
222	223	277
223	224	276
224	225	275
225	226	274
226	227	273
227	228	272
228	229	271
229	230	270
230	231	269
231	232	268
232	233	267
233	234	266
234	235	265
235	236	265
236	238	264
237	239	263
238	240	262
239	245	266
240	247	266
241	248	265
242	250	264
243	251	263
244	251	262
245	253	261
246	254	260
247	255	259
248	257	259
249	258	258
250	259	257
251	267	262
252	270	263
253	272	263
254	273	263
255	313	299
256	318	301
257	319	300
258	321	298
259	327	302
260	328	301
261	330	300
262	334	301
263	335	299
264	336	298
265	337	297
266	339	295
267	340	294
268	341	293
269	342	291
270	343	290
271	344	288
272	345	287
273	346	285
274	347	284
275	348	283
276	349	281
277	350	280
278	351	278
279	353	277
280	354	275
281	355	274
282	356	273
283	357	271
284	358	270
285	359	268
286	360	267
287	361	266
288	362	264
289	363	263
290	364	261
291	365	260
292	367	259
293	368	258
294	369	256
295	370	255
296	371	254
297	373	252
298	374	251
299	375	250
300	376	248
301	377	247
302	378	246
303	379	244
304	381	243
305	382	242
306	383	240
307	384	239
308	385	238
309	386	236
310	387	235
311	388	234
312	389	232
313	390	231
314	391	229
315	392	228
316	393	227
317	394	225
318	396	224
319	397	223
320	398	222
321	399	220
322	400	219
323	401	218
324	402	216
325	403	215
326	404	214
327	406	212
328	407	211
329	408	210
330	409	209
331	410	207
332	411	206
333	412	205
334	413	203
335	414	202
336	415	201
337	416	199
338	418	198
339	419	197
340	420	195
341	421	194
342	422	193
343	423	192
344	424	190
345	425	189
346	426	188
347	427	186
348	428	185
349	429	184
350	431	182
351	432	181
352	433	180
353	434	179
354	435	177
355	436	176
356	437	175
357	438	173
358	439	172
359	440	171
360	442	170
361	443	168
362	444	167
363	445	166
364	446	165
365	447	163
366	449	162
367	450	161
368	451	160
369	452	158
370	453	157
371	454	156
372	455	155
373	457	153
374	458	152
375	459	151
376	460	150
377	461	148
378	462	147
379	463	146
380	464	145
381	465	143
382	467	142
383	468	141
384	469	140
385	470	138
386	471	137
387	472	136
388	473	135
389	474	133
390	475	132
391	477	131
392	478	130
393	479	128
394	480	127
395	481	126
396	482	125
397	483	124
398	485	122
399	486	121
400	487	120
401	488	119
402	489	117
403	490	116
404	491	115
405	493	114
406	494	112
407	495	111
408	496	110
409	497	109
410	498	107
411	499	106
